x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.93660E-06,+200.94708375E-03,-7.03059001E-03,+310.19552245E-03,-83.31893755E-03
-9.92660E-06,+200.94708375E-03,-7.27933373E-03,+310.19552245E-03,-83.45618629E-03
-9.91660E-06,+200.94708375E-03,-7.27179604E-03,+310.19552245E-03,-83.35379936E-03
-9.90660E-06,+200.94708375E-03,-7.58373071E-03,+310.19552245E-03,-83.37641242E-03
-9.89660E-06,+200.94821440E-03,-7.47267544E-03,+310.19552245E-03,-83.29852298E-03
-9.88660E-06,+200.94865410E-03,-7.38825333E-03,+310.19552245E-03,-83.44016870E-03
-9.87660E-06,+200.95179480E-03,-7.87883121E-03,+310.19552245E-03,-83.36730438E-03
-9.86660E-06,+200.95650586E-03,-7.64981111E-03,+310.19552245E-03,-83.43954056E-03
-9.85660E-06,+200.96121691E-03,-7.58461011E-03,+310.19552245E-03,-83.30982951E-03
-9.84660E-06,+200.96862897E-03,-7.98950960E-03,+310.19552245E-03,-83.42132448E-03
-9.83660E-06,+200.97377973E-03,-7.90320307E-03,+310.19552245E-03,-83.32553303E-03
-9.82660E-06,+200.97692043E-03,-7.72631865E-03,+310.19552245E-03,-83.44268127E-03
-9.81660E-06,+200.97535008E-03,-7.92996186E-03,+310.19552245E-03,-83.31108579E-03
-9.80660E-06,+200.97220937E-03,-8.06538900E-03,+310.19552245E-03,-83.37986720E-03
-9.79660E-06,+200.96749832E-03,-8.17455985E-03,+310.19552245E-03,-83.27057072E-03
-9.78660E-06,+200.96121691E-03,-8.44139402E-03,+310.19552245E-03,-83.42980438E-03
-9.77660E-06,+200.95694555E-03,-8.43674578E-03,+310.19552245E-03,-83.30888730E-03
-9.76660E-06,+200.95336515E-03,-8.49089151E-03,+310.19552245E-03,-83.47974157E-03
-9.75660E-06,+200.95223450E-03,-8.31337894E-03,+310.19552245E-03,-83.33683956E-03
-9.74660E-06,+200.95336515E-03,-8.75370557E-03,+310.19552245E-03,-83.42069634E-03
-9.73660E-06,+200.95336515E-03,-8.73247442E-03,+310.19552245E-03,-83.32584710E-03
-9.72660E-06,+200.95380485E-03,-9.12694677E-03,+310.19552245E-03,-83.42446519E-03
-9.71660E-06,+200.95336515E-03,-8.86425834E-03,+310.19552245E-03,-83.30072147E-03
-9.70660E-06,+200.95493550E-03,-8.93950959E-03,+310.19552245E-03,-83.44487976E-03
-9.69660E-06,+200.95807621E-03,-9.25282617E-03,+310.19552245E-03,-83.28062097E-03
-9.68660E-06,+200.95964656E-03,-9.18762517E-03,+310.19552245E-03,-83.46623654E-03
-9.67660E-06,+200.96121691E-03,-9.43021310E-03,+310.19552245E-03,-83.31548278E-03
-9.66660E-06,+200.96278726E-03,-9.54214778E-03,+310.19552245E-03,-83.42226669E-03
-9.65660E-06,+200.96391792E-03,-9.25923321E-03,+310.19552245E-03,-83.37264358E-03
-9.64660E-06,+200.96749832E-03,-9.42179602E-03,+310.19552245E-03,-83.43954056E-03
-9.63660E-06,+200.97220937E-03,-9.46400707E-03,+310.19552245E-03,-83.30982951E-03
-9.62660E-06,+200.97377973E-03,-9.43435883E-03,+310.19552245E-03,-83.43263102E-03
-9.61660E-06,+200.97220937E-03,-8.46237392E-03,+310.19552245E-03,-83.36039484E-03
-9.60660E-06,+200.97063902E-03,-5.61413274E-03,+310.19552245E-03,-83.43608579E-03
-9.59660E-06,+200.96636767E-03,-2.96036393E-03,+310.19552245E-03,-83.28281946E-03
-9.58660E-06,+200.96435761E-03,-593.02727E-06,+310.19552245E-03,-83.47063353E-03
-9.57660E-06,+200.96278726E-03,+1.62732447E-03,+310.19552245E-03,-83.33809584E-03
-9.56660E-06,+200.95964656E-03,+3.90998776E-03,+310.19552245E-03,-83.42352298E-03
-9.55660E-06,+200.95650586E-03,+5.89893246E-03,+310.19552245E-03,-83.34029433E-03
-9.54660E-06,+200.95493550E-03,+7.92920882E-03,+310.19552245E-03,-83.45869885E-03
-9.53660E-06,+200.95650586E-03,+9.98021382E-03,+310.19552245E-03,-83.30763102E-03
-9.52660E-06,+200.95964656E-03,+11.92983692E-03,+310.19552245E-03,-83.39023152E-03
-9.51660E-06,+200.96165661E-03,+14.01074142E-03,+310.19552245E-03,-83.32176418E-03
-9.50660E-06,+200.96121691E-03,+13.13473640E-03,+310.19552245E-03,-83.41127423E-03
-9.49660E-06,+200.95851591E-03,+12.30056556E-03,+310.19552245E-03,-83.29286971E-03
-9.48660E-06,+200.95493550E-03,+12.06978667E-03,+310.19552245E-03,-83.46498026E-03
-9.47660E-06,+200.95022445E-03,+11.84302788E-03,+310.19552245E-03,-83.35694006E-03
-9.46660E-06,+200.94752344E-03,+11.44239974E-03,+310.19552245E-03,-83.41567122E-03
-9.45660E-06,+200.94551339E-03,+11.46413341E-03,+310.19552245E-03,-83.36039484E-03
-9.44660E-06,+200.94551339E-03,+11.23674647E-03,+310.19552245E-03,-83.45869885E-03
-9.43660E-06,+200.94551339E-03,+10.95232437E-03,+310.19552245E-03,-83.28627423E-03
