Acquired on 3/9/2002 at 01:35:32
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.146018
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.146018
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1546.932544	193798.016092	-17.622293	1599.006713	-3178.188978	41.839683	7.273503	-1.010593	1.637524	0.064997	0.112728	0.065755	0.115421	0.394539	-1.120076	2.999076	1.520003	0.029035	0.000000	1549.454403	-14.612277	-56.451960	7645.229245	0.853152	0.312024
   1546.935094	193797.696574	-17.562297	1590.900888	-1062.902225	42.082485	187.659367	-1.006730	2.034673	0.064589	0.113024	0.066787	0.116844	0.243084	-1.286974	2.833422	1.339912	0.030564	0.000000	1549.205822	-14.552266	-56.634751	156681.512756	0.867453	0.316904
   1546.937645	193797.377057	-17.654445	1588.189996	4510.458442	45.370235	74.432109	-0.997424	2.463482	0.063648	0.112208	0.065852	0.115520	0.125053	-1.372553	2.731806	1.258797	0.032092	0.000000	1549.078820	-14.644271	-60.014507	60836.662470	0.879054	0.324048
   1546.940195	193797.057539	-17.684864	1599.693789	-1645.020099	48.324884	687.481492	-1.011213	2.895416	0.063169	0.111868	0.064367	0.115912	0.820473	-0.683844	-2.841183	1.944363	0.033620	0.000000	1549.237669	-14.674628	-62.999512	490242.174237	0.887710	0.333520
   1546.942746	193796.738022	-17.754165	1595.498199	6834.751399	51.768804	170.829917	-1.016579	3.361991	0.062810	0.111377	0.063822	0.114546	0.991541	-0.529141	-2.667901	2.095269	0.035148	0.000000	1549.297850	-14.743894	-66.512698	276254.440655	0.892944	0.388819
   1546.945296	193796.418504	-17.797836	1612.930149	2425.789562	46.923040	976.098560	-1.056941	3.819790	0.062542	0.111201	0.064105	0.113233	1.937062	0.448787	-1.692199	3.082701	0.036676	0.000000	1549.630219	-14.787625	-61.710665	526042.823749	0.894306	0.484136
   1546.947847	193796.098987	-17.762112	1619.117116	4536.930632	40.273766	483.609534	-1.109724	4.291386	0.062511	0.111714	0.062518	0.114832	1.457095	-0.037723	-2.156028	2.595627	0.038205	0.000000	1549.563312	-14.752220	-55.025986	361378.170233	0.891329	0.589134
   1546.950397	193795.779469	-17.840318	1630.688578	4279.590532	36.518824	153.175312	-1.185738	4.765971	0.063714	0.109577	0.062514	0.113624	1.314777	-0.148414	-2.316661	2.460869	0.039733	0.000000	1549.211041	-14.830986	-51.349809	216462.645736	0.884330	0.680426
   1546.952948	193795.459951	-17.802003	1641.603729	4081.754693	37.265941	86.081119	-1.283665	5.244862	0.063431	0.109812	0.062579	0.114797	1.210684	-0.241582	-2.439283	2.363888	0.041261	0.000000	1549.190341	-14.792518	-52.058460	55365.670636	0.874240	0.740128
   1546.955498	193795.140434	-17.816258	1652.014331	8586.955657	35.503562	102.396958	-1.402493	5.729071	0.064120	0.109828	0.061845	0.114321	1.112837	-0.353902	-2.531311	2.265943	0.042789	0.000000	1549.161504	-14.807181	-50.310743	54528.595706	0.861786	0.775455
