Acquired on 3/9/2002 at 02:29:56
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.151336
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.151336
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.239477	193634.423097	-14.963691	1620.802950	13970.530167	32.460258	155.218960	1.185478	1.966106	0.085852	0.159114	0.076240	0.158985	-1.952723	2.499031	0.627556	-1.202206	0.058071	0.000000	1549.511700	-11.955855	-44.416113	95874.655724	0.747588	0.521598
   1548.242032	193634.103579	-14.947484	1656.494378	11628.988256	31.345932	62.933756	1.217824	2.114386	0.087719	0.160340	0.075562	0.157803	-1.922292	2.547543	0.681092	-1.143138	0.061127	0.000000	1549.440609	-11.940369	-43.286301	64013.262959	0.748186	0.529482
   1548.244587	193633.784062	-14.849024	1686.203813	2003.096059	34.518250	132.696688	1.190525	2.210752	0.086548	0.162393	0.077764	0.159917	-2.031569	2.407393	0.553808	-1.274465	0.064184	0.000000	1549.337985	-11.840258	-46.358508	108161.043745	0.748505	0.538707
   1548.247142	193633.464544	-14.685344	1691.321287	2212.252694	32.870477	180.655023	1.152953	2.304573	0.087687	0.163536	0.080181	0.164730	-2.206416	2.223379	0.358838	-1.437786	0.067240	0.000000	1548.870365	-11.677286	-44.547764	156852.921908	0.748618	0.549512
   1548.249696	193633.145027	-14.780228	1696.973130	1311.743651	29.839842	13.433305	1.104035	2.394776	0.089308	0.162461	0.077667	0.161638	-2.208830	2.204313	0.337444	-1.448786	0.070296	0.000000	1549.385836	-11.774431	-41.614273	83768.783512	0.748618	0.561559
   1548.252251	193632.825509	-14.588798	1700.324371	5858.422369	34.093524	72.135642	1.048388	2.485980	0.088239	0.168434	0.079854	0.164297	-2.288275	2.132311	0.274750	-1.524383	0.073353	0.000000	1549.683896	-11.580190	-45.673714	48631.173936	0.748593	0.574997
   1548.254806	193632.505992	-14.630659	1715.291513	2354.577397	34.853402	114.009992	0.962694	2.554866	0.087664	0.166988	0.081277	0.163351	-2.398231	2.018470	0.160329	-1.634737	0.076409	0.000000	1549.605717	-11.621780	-46.475181	52186.393708	0.748647	0.589989
   1548.257361	193632.186474	-14.560360	1721.307025	7010.288630	31.255424	13.361085	0.864923	2.619403	0.087077	0.168097	0.079886	0.166621	-2.401053	1.999450	0.113392	-1.656050	0.079466	0.000000	1549.214794	-11.553312	-42.808736	50177.140383	0.748856	0.605979
   1548.259916	193631.866956	-14.512554	1739.217082	-4281.891238	34.020342	106.593580	0.731196	2.655714	0.087343	0.171732	0.080660	0.164715	-2.527569	1.883189	0.030696	-1.749439	0.082522	0.000000	1549.220475	-11.503975	-45.524317	56229.150795	0.749277	0.644012
   1548.262470	193631.547439	-14.514737	1728.277565	-2332.937650	37.467006	117.519941	0.619431	2.721716	0.086864	0.172965	0.081171	0.163314	-2.652128	1.766089	-0.073186	-1.871882	0.085578	0.000000	1549.373673	-11.505216	-48.972222	35423.465506	0.749932	0.667506
   1548.265025	193631.227921	-14.451141	1722.317280	-15066.526494	35.869203	135.388264	0.519631	2.807412	0.086270	0.172802	0.083582	0.165761	-2.790894	1.626966	-0.220019	-2.005616	0.088635	0.000000	1549.386326	-11.441966	-47.311169	98259.319789	0.750787	0.662226
   1548.267580	193630.908404	-14.477891	1683.824569	-6786.585929	37.260043	197.120458	0.497110	2.978115	0.085125	0.174511	0.082677	0.163674	-2.991683	1.421425	-0.411367	-2.221989	0.091691	0.000000	1549.353883	-11.468407	-48.728450	110158.308629	0.751770	0.669837
   1548.270135	193630.588886	-14.426099	1666.485804	-1337.217392	38.578624	118.089091	0.509397	3.191357	0.085473	0.175127	0.082309	0.165622	-2.883518	1.552741	-0.318950	-2.109177	0.094747	0.000000	1549.320162	-11.416402	-49.995025	47667.374292	0.752837	0.683108
   1548.272690	193630.269369	-14.437199	1663.069392	-3713.815470	41.614820	121.282536	0.528543	3.419185	0.085853	0.175388	0.082339	0.164575	-3.006098	1.433211	-0.429122	-2.237298	0.097804	0.000000	1549.462322	-11.427198	-53.042019	31380.068409	0.753936	0.694861
   1548.275245	193629.949851	-14.369388	1653.581058	2411.677376	44.688363	123.083070	0.566738	3.673792	0.086654	0.177398	0.082497	0.165362	-3.132190	1.310677	-0.549003	-2.368791	0.100860	0.000000	1549.452391	-11.359236	-56.047599	13301.082756	0.755079	0.705378
   1548.277800	193629.630333	-14.409588	1659.742612	-4342.399729	47.178910	167.457265	0.592563	3.923758	0.086079	0.176999	0.080984	0.164800	-2.975314	1.474895	-0.400261	-2.213582	0.103916	0.000000	1549.862509	-11.399372	-58.578282	42772.250338	0.756267	0.714827
   1548.280355	193629.310816	-14.313344	1648.648250	-1144.424654	40.580655	1380.613735	0.640661	4.203725	0.086551	0.179753	0.079946	0.166990	1.896400	0.096678	-1.763305	2.672425	0.106973	0.000000	1549.461401	-11.303424	-51.884079	883759.021975	0.757555	0.723566
   1548.282909	193628.991298	-14.334192	1645.724360	542.963334	41.768720	70.991305	0.694629	4.497292	0.086975	0.177377	0.081462	0.167514	1.846649	0.051149	-1.802571	2.644498	0.110029	0.000000	1549.656274	-11.324181	-53.092902	653659.784701	0.759110	0.732263
   1548.285464	193628.671781	-14.291523	1647.111581	5253.039042	49.226165	69.848967	0.745811	4.795802	0.087020	0.177514	0.082387	0.169060	1.791896	-0.013798	-1.892783	2.568189	0.113086	0.000000	1549.483063	-11.281275	-60.507440	22015.123156	0.760945	0.740881
   1548.288019	193628.352263	-14.219785	1660.532661	3518.283939	38.548531	230.659442	0.770050	5.075098	0.088573	0.178700	0.081239	0.171212	1.557651	-0.239885	-2.119310	2.324746	0.116142	0.000000	1549.187751	-11.210092	-49.758622	131878.026543	0.763148	0.749631
   1548.290574	193628.032746	-14.313810	1669.521615	5280.448979	38.330654	231.204460	0.776243	5.344076	0.087364	0.176760	0.079202	0.170063	1.332963	-0.476767	-2.356246	2.098861	0.119198	0.000000	1549.284443	-11.304148	-49.634802	77969.614283	0.765729	0.758435
   1548.293129	193627.713228	-14.204655	1683.012814	4208.795988	36.742618	13.541461	0.755351	5.593699	0.088607	0.177562	0.080594	0.173440	1.328854	-0.468792	-2.367912	2.096043	0.122255	0.000000	1549.458373	-11.195275	-47.937893	108774.468328	0.752872	0.755558
   1548.295684	193627.393711	-14.226860	1693.766046	2382.551406	34.722336	24.768487	0.712871	5.829462	0.090118	0.177047	0.080101	0.172297	1.303321	-0.500479	-2.384202	2.072483	0.125311	0.000000	1549.492487	-11.218024	-45.940360	12275.584634	0.750930	0.757009
   1548.298239	193627.074193	-14.168795	1699.853347	5539.403618	36.191110	200.949467	0.658170	6.060734	0.089241	0.179051	0.080015	0.173668	1.109619	-0.704076	-2.606112	1.876231	0.128367	0.000000	1549.343072	-11.159539	-47.350649	132105.134588	0.746399	0.752232
   1548.300794	193626.754675	-14.169577	1714.006299	-6484.317250	34.633617	55.501788	0.575056	6.271321	0.089089	0.176362	0.081126	0.175928	1.049807	-0.773929	-2.658293	1.827119	0.131424	0.000000	1549.402092	-11.160771	-45.794388	86271.675231	0.745138	0.745266
   1548.303349	193626.435158	-14.152011	1697.439077	-134.059564	34.418703	76.038568	0.525202	6.522898	0.089548	0.177060	0.081379	0.175759	0.973541	-0.853266	-2.736336	1.760272	0.134480	0.000000	1549.559222	-11.143281	-45.561983	16013.915119	0.778424	0.731443
   1548.305904	193626.115640	-14.108444	1697.096558	-57.705112	34.252364	74.213412	0.476035	6.782891	0.089499	0.177454	0.082401	0.177110	0.888599	-0.933134	-2.852568	1.665912	0.137536	0.000000	1549.167005	-11.099775	-45.352139	30815.596870	0.804188	0.739157
   1548.308459	193625.796123	-14.144359	1696.949122	1402.869824	32.330691	23.028307	0.427165	7.050909	0.089628	0.176489	0.081404	0.176664	0.871554	-0.972378	-2.871010	1.644204	0.140593	0.000000	1549.462228	-11.136597	-43.467288	27868.795850	0.822003	0.789631
   1548.311014	193625.476605	-14.111388	1700.533445	-1467.513644	32.292118	34.088786	0.371099	7.319461	0.090154	0.178013	0.081439	0.176512	0.840295	-0.997471	-2.906135	1.621101	0.143649	0.000000	1549.434754	-11.103650	-43.395768	8420.291708	0.822363	0.865317
   1548.313569	193625.157088	-14.142677	1696.783945	-6408.977427	33.127609	4.372885	0.322560	7.603268	0.088722	0.178510	0.080314	0.175671	0.820709	-1.006883	-2.918806	1.613841	0.146706	0.000000	1550.042013	-11.134491	-44.262100	14931.368926	0.838994	0.895896
   1548.316124	193624.837570	-14.120524	1680.408944	-4413.244883	35.217965	32.114507	0.306895	7.927679	0.089317	0.180995	0.080603	0.173807	0.782613	-1.047675	-2.926663	1.590259	0.149762	0.000000	1549.513933	-11.111530	-46.329495	14667.731146	0.852115	0.909478
   1548.318679	193624.518052	-14.170652	1669.133022	-3359.776990	37.534705	158.446314	0.313868	8.282457	0.087727	0.179539	0.081936	0.172944	0.639296	-1.205208	-3.066846	1.432486	0.152818	0.000000	1549.574367	-11.161118	-48.695823	102428.916617	0.839638	0.954911
   1548.321234	193624.198535	-14.151055	1660.548702	1314.674999	36.894580	60.228855	0.338075	8.662197	0.086420	0.180287	0.081410	0.174070	0.576388	-1.267159	-3.140938	1.368475	0.155875	0.000000	1549.796370	-11.141643	-48.036223	68072.387088	0.807985	0.899744
   1548.323789	193623.879017	-14.188213	1663.907743	2605.858826	36.561303	45.720247	0.355538	9.042922	0.087729	0.180231	0.081718	0.171427	0.542854	-1.301409	3.113718	1.342640	0.158931	0.000000	1549.605776	-11.178872	-47.740175	20077.966753	0.772521	0.880076
   1548.326344	193623.559500	-14.186833	1670.565826	7227.553820	38.313053	76.226250	0.359634	9.418010	0.087495	0.180597	0.082200	0.171000	0.466383	-1.377472	3.043643	1.261439	0.161987	0.000000	1549.490270	-11.177173	-49.490226	42352.479803	0.752050	0.787660
   1548.328899	193623.239982	-14.206810	1689.032603	1681.512343	40.719875	39.078219	0.326657	9.763754	0.086948	0.181554	0.081157	0.169737	0.422009	-1.420303	3.001476	1.206526	0.165044	0.000000	1549.364054	-11.196878	-51.916753	24045.448761	0.767635	0.657377
   1548.331454	193622.920465	-14.272425	1693.328969	-404.504304	41.538780	355.957661	0.285054	10.108600	0.085437	0.180576	0.081636	0.167954	0.067616	-1.776899	2.655003	0.844084	0.168100	0.000000	1549.275187	-11.262429	-52.801210	258526.274777	0.794115	0.524839
   1548.334009	193622.600947	-14.218344	1692.295432	-5747.791997	48.270056	231.339477	0.245526	10.463251	0.085080	0.181005	0.081588	0.170469	-0.165313	-1.990384	2.426027	0.609458	0.171156	0.000000	1549.498237	-11.208109	-59.478165	122914.210150	0.829765	0.328366
   1548.336564	193622.281429	-14.296217	1677.609379	-7974.076419	52.934176	1186.168798	0.235482	10.855114	0.085148	0.179703	0.079187	0.168991	1.028469	-0.796714	-2.669621	1.792102	0.174213	0.000000	1549.832466	-11.285939	-64.220115	774960.452796	0.877722	0.286014
