Acquired on 2/2/2002 at 21:13:27
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.738680	193572.009213	-6.246303	1642.959799	-10691.183396	33.148920	128.415743	0.494029	-2.244937	0.354008	0.386799	0.309094	0.322808	1.207388	-2.952182	-2.328599	-0.127906	0.058071	0.000000	1549.866867	-3.238106	-36.387026	120404.854820	0.637714	0.333345
   1548.741236	193571.689695	-6.182499	1615.628717	6821.693958	33.130582	101.514803	0.502318	-2.643425	0.357184	0.389100	0.314432	0.322269	1.105684	-3.060457	-2.434025	-0.251494	0.061127	0.000000	1549.842991	-3.174311	-36.304893	79596.000426	0.642485	0.341938
   1548.743793	193571.370177	-6.241924	1633.067843	961.849382	32.876214	4.924008	0.475596	-3.104042	0.356607	0.383969	0.314426	0.318894	1.121717	-3.037568	-2.416849	-0.222989	0.064184	0.000000	1549.678483	-3.233863	-36.110077	48163.399234	0.645161	0.351924
   1548.746349	193571.050660	-6.110720	1635.526743	-7416.695059	32.378746	59.681993	0.443938	-3.596714	0.364101	0.394694	0.312654	0.321910	1.199598	-2.965731	-2.342018	-0.140924	0.067240	0.000000	1549.693005	-3.102930	-35.481677	37224.466649	0.646499	0.362580
   1548.748906	193570.731142	-6.180924	1616.566418	8626.087914	33.814094	86.493993	0.450344	-4.078440	0.362126	0.392214	0.310017	0.317493	1.112910	-3.054383	-2.428237	-0.251011	0.070296	0.000000	1549.913015	-3.172428	-36.986522	47054.015990	0.646002	0.385435
   1548.751462	193570.411625	-6.206841	1638.618554	-3299.486874	35.247750	46.723024	0.412479	-4.631557	0.360898	0.385185	0.312823	0.320217	1.144549	-2.999232	-2.378996	-0.183244	0.073353	0.000000	1550.221582	-3.197838	-38.445588	26433.558530	0.642816	0.444369
   1548.754018	193570.092107	-6.129253	1630.183564	-6032.090788	34.914212	23.973431	0.391547	-5.194857	0.365029	0.392078	0.313117	0.320363	1.113499	-3.046339	-2.420893	-0.242987	0.076409	0.000000	1550.164856	-3.120353	-38.034565	13554.454271	0.638462	0.456646
   1548.756575	193569.772590	-6.248377	1614.762742	-2960.302044	33.041189	17.952119	0.401575	-5.754318	0.359604	0.386967	0.311131	0.313992	1.082732	-3.062605	-2.468402	-0.266575	0.079466	0.000000	1550.031253	-3.240233	-36.281422	7009.828348	0.633351	0.456536
   1548.759131	193569.453072	-6.138095	1607.194812	-15033.732142	33.115943	66.165063	0.426795	-6.325704	0.358976	0.391617	0.315220	0.324134	1.114917	-3.042027	-2.424092	-0.230466	0.082522	0.000000	1550.100684	-3.129914	-36.245857	36680.105786	0.627172	0.466106
   1548.761688	193569.133554	-6.180428	1568.761366	-4709.057496	34.344760	102.847709	0.529175	-6.847049	0.356315	0.390699	0.313272	0.322782	1.014285	3.135710	-2.513876	-0.345642	0.085578	0.000000	1549.982868	-3.171724	-37.516484	86561.697015	0.620329	0.463210
