Acquired on 2/3/2002 at 00:55:43
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690094	193578.082027	-8.533816	962.370381	241091.679481	30.926885	0.000000	0.086175	-0.004324	0.317891	0.230663	0.298051	0.192931	1.700829	2.215154	-1.865515	-1.306711	0.000000	0.000000	1550.066778	-5.527023	-36.453908	0.000000	0.217794	0.185254
   1548.692650	193577.762510	-8.169442	1578.661657	2838.199954	30.108999	0.000000	0.035542	0.005375	0.315693	0.247251	0.310098	0.218846	1.447303	2.790010	-2.180613	-0.759031	0.003056	0.000000	1551.073000	-5.163375	-35.272374	0.000000	0.217926	0.180862
   1548.695206	193577.442992	-7.713594	1585.916837	-19098.336654	32.164141	303.082393	-0.029657	-0.014574	0.304630	0.285060	0.308983	0.262789	1.383687	2.497071	-2.234412	-1.093972	0.006113	0.000000	1549.934432	-4.705932	-36.870073	263983.624805	0.218580	0.180871
   1548.697763	193577.123475	-8.191789	1537.096339	27798.385078	31.982961	157.977620	0.003156	0.048406	0.299611	0.262015	0.297524	0.237374	1.494932	2.556991	-2.119373	-1.011843	0.009169	0.000000	1549.972053	-5.184239	-37.167201	130066.523845	0.219454	0.178829
   1548.700319	193576.803957	-7.447833	1608.156741	-32688.827130	32.147892	107.151599	-0.106691	-0.046359	0.306105	0.308440	0.303422	0.281164	1.584913	2.582375	-2.047116	-0.996983	0.012225	0.000000	1550.311643	-4.440181	-36.588073	42831.989648	0.220289	0.188388
   1548.702875	193576.484439	-7.734707	1524.594733	11405.162483	32.417253	123.590235	-0.048780	0.011552	0.291820	0.299643	0.291982	0.277033	1.658784	2.546355	-1.971281	-1.029444	0.015282	0.000000	1550.108130	-4.726896	-37.144149	76811.702717	0.243744	0.201935
   1548.705431	193576.164922	-7.283147	1553.749692	-5216.972049	33.843637	67.422768	-0.049400	-0.004151	0.304204	0.318489	0.302170	0.297630	1.741920	2.586743	-1.891171	-0.992589	0.018338	0.000000	1549.570621	-4.274639	-38.118276	46839.061492	0.293352	0.216345
   1548.707988	193575.845404	-7.214677	1540.413529	-9570.975119	35.410913	19.431971	-0.023247	-0.008164	0.297038	0.329755	0.294625	0.309891	1.747745	2.522809	-1.887577	-1.070988	0.021395	0.000000	1550.039501	-4.205626	-39.616539	25200.749032	0.328928	0.229690
   1548.710544	193575.525887	-7.233583	1515.947132	9044.697549	33.991691	86.017046	0.052025	0.021858	0.296547	0.329588	0.296033	0.306518	1.677294	2.420047	-1.951455	-1.171184	0.024451	0.000000	1549.856032	-4.225015	-38.216706	47258.027490	0.387310	0.243344
   1548.713100	193575.206369	-6.843955	1539.068276	-3746.559752	36.673146	29.970531	0.080879	-0.009620	0.300842	0.350057	0.301009	0.331662	1.655336	2.357522	-1.971056	-1.245954	0.027507	0.000000	1549.947459	-3.834589	-40.507735	31870.733886	0.421454	0.255245
