Acquired on 2/1/2002 at 22:40:11
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-14.956465	1628.568928	-9843.029603	26.803922	0.000000	-0.041902	0.007719	0.127574	0.172112	0.074209	0.111706	-1.153498	0.810945	1.196567	-2.935900	0.000000	0.000000	1550.127142	-11.955221	-38.759143	0.000000	0.242661	0.210869
   1548.692666	193577.760529	-4.783235	1603.407656	-5837.273811	28.475581	0.000000	-0.033253	-0.016712	0.532753	0.284067	0.500465	0.223244	-2.202678	-0.931531	0.585148	1.784812	0.003056	0.000000	1550.099094	-1.779100	-30.254681	0.000000	0.247895	0.213110
   1548.695222	193577.441011	-6.123624	1588.486059	848.044260	28.185806	631.773915	0.005353	-0.002917	0.462390	0.227764	0.427867	0.198815	-1.555058	-0.088603	1.269674	2.928479	0.006113	0.000000	1550.399091	-3.119914	-31.305720	373093.238340	0.253994	0.216192
   1548.697778	193577.121494	-5.953297	1590.653889	7457.182778	33.528661	345.673419	0.039607	0.014796	0.463968	0.254019	0.427826	0.212089	-1.936189	-0.583505	0.850475	2.231829	0.009169	0.000000	1550.233742	-2.944924	-36.473585	150877.778402	0.259924	0.218969
   1548.700335	193576.801976	-5.560948	1609.716522	-2552.155887	30.056490	5.222781	0.035591	0.002510	0.490330	0.257146	0.454582	0.206468	-1.895599	-0.500180	0.922866	2.389033	0.012225	0.000000	1550.177473	-2.554933	-32.611423	169604.693662	0.265591	0.221370
   1548.702891	193576.482459	-6.114258	1603.192480	9759.699406	31.055095	95.277370	0.044672	0.011591	0.456218	0.248243	0.421262	0.205210	-1.808017	-0.400224	1.003318	2.494166	0.015282	0.000000	1550.229444	-3.107363	-34.162458	96753.814285	0.271776	0.224360
   1548.705447	193576.162941	-5.556888	1628.141151	-8527.290430	31.857412	55.562712	0.003666	-0.021144	0.483014	0.265740	0.450889	0.221630	-1.847978	-0.526783	0.952496	2.328486	0.018338	0.000000	1549.958663	-2.549419	-34.406831	43515.600174	0.277383	0.226592
   1548.708004	193575.843423	-5.951048	1606.342809	4216.723707	30.083161	130.750604	0.006423	-0.001847	0.465028	0.250908	0.430434	0.208789	-1.711099	-0.337530	1.097284	2.583867	0.021395	0.000000	1549.991662	-2.945006	-33.028167	64901.077349	0.282543	0.228286
   1548.710560	193575.523906	-5.776896	1617.122070	3186.500927	31.832211	202.886656	-0.012460	0.004080	0.467373	0.265456	0.437094	0.221144	-1.905802	-0.561392	0.899181	2.287002	0.024451	0.000000	1549.937342	-2.769443	-34.601654	162019.513529	0.288483	0.231098
   1548.713116	193575.204388	-5.748025	1625.267787	-13570.160957	31.656390	70.205140	-0.047697	0.001924	0.475900	0.260370	0.438912	0.213237	-1.896172	-0.538371	0.914961	2.323166	0.027507	0.000000	1549.936283	-2.740690	-34.397081	73314.886060	0.296717	0.234457
   1548.715672	193574.884871	-5.902494	1590.577994	11692.451630	32.764272	67.074121	-0.013291	0.077681	0.465051	0.257561	0.429592	0.215928	-1.836367	-0.468272	0.964743	2.388898	0.030564	0.000000	1550.174759	-2.894491	-35.658763	38469.248750	0.324925	0.237878
   1548.718229	193574.565353	-5.671059	1620.467844	-7004.574742	31.735402	72.241723	-0.038892	0.101702	0.471353	0.269089	0.442443	0.227086	-1.807273	-0.490631	1.000731	2.381388	0.033620	0.000000	1550.237640	-2.663670	-34.399072	36814.185368	0.349228	0.241209
   1548.720785	193574.245836	-5.874681	1602.561729	802.552406	30.150382	92.313270	-0.028544	0.169941	0.464476	0.261344	0.431077	0.217301	-1.719592	-0.385956	1.087712	2.524220	0.036676	0.000000	1550.657332	-2.868574	-33.018956	58828.282533	0.323709	0.243067
   1548.723342	193573.926318	-5.819183	1604.613337	-4341.036596	33.602105	121.018715	-0.022315	0.242331	0.464093	0.265526	0.431997	0.226334	-1.839389	-0.494887	0.958579	2.349658	0.039733	0.000000	1550.515985	-2.810778	-36.412883	35567.234195	0.316644	0.243330
   1548.725898	193573.606800	-5.793352	1593.516074	-12071.439510	31.511644	42.936010	0.006192	0.345270	0.468885	0.262509	0.436088	0.218913	-1.797243	-0.472021	1.001317	2.395410	0.042789	0.000000	1550.260729	-2.786118	-34.297761	39224.431647	0.319910	0.242595
   1548.728454	193573.287283	-5.820173	1562.656997	7403.106117	30.330630	36.925275	0.096652	0.518432	0.463554	0.269137	0.431924	0.223025	-1.764482	-0.446799	1.035794	2.439153	0.045845	0.000000	1550.409810	-2.813896	-33.144526	6985.878336	0.322634	0.241316
   1548.731011	193572.967765	-5.773575	1581.582145	-11177.654826	31.563606	70.523912	0.149118	0.661870	0.465179	0.271418	0.433552	0.226358	-1.834510	-0.518385	0.972333	2.346669	0.048902	0.000000	1550.170528	-2.766304	-34.329909	32301.904996	0.325060	0.239926
   1548.733567	193572.648248	-5.836464	1553.007724	5051.094070	30.914943	68.256225	0.258950	0.870944	0.464780	0.264889	0.432321	0.220381	-1.769188	-0.450554	1.030271	2.428325	0.051958	0.000000	1550.182273	-2.829680	-33.744624	12866.800836	0.327034	0.238118
   1548.736123	193572.328730	-5.812644	1565.920322	5670.847670	31.208167	30.176326	0.342858	1.062365	0.461320	0.273352	0.429865	0.228479	-1.780622	-0.475506	1.016273	2.391886	0.055015	0.000000	1550.673603	-2.805631	-34.013798	35160.855881	0.328590	0.235934
